Customer ID,Recency,Frequency,Monetary,R_Score,F_Score,M_Score,Segment,Action,KMeans_Cluster
12410,138,13,240.38,2,1,2,Hibernating,Re-engage with reminder emails and promotions.,0
12411,45,21,287.2,3,2,2,About to Sleep,Send wake-up campaigns and personalized coupons.,3
12412,38,55,1005.79,3,3,4,Need Attention,Use personalized outreach and surveys.,3
12413,38,7,122.85,3,1,1,About to Sleep,Send wake-up campaigns and personalized coupons.,3
12414,99,5,74.88,2,1,1,Hibernating,Re-engage with reminder emails and promotions.,0
12415,11,96,3207.15,5,4,5,Champions,Reward with VIP programs and brand ambassador opportunities.,3
12416,292,11,202.56,1,1,2,Hibernating,Re-engage with reminder emails and promotions.,2
12417,46,132,2056.9,3,5,5,Loyal Customers,Strengthen relationship with exclusive offers and rewards.,3
12418,49,63,1269.05,3,4,4,Loyal Customers,Strengthen relationship with exclusive offers and rewards.,3
12419,21,20,274.31,4,2,2,Potential Loyalists,Nurture with targeted recommendations and incentives.,3
12421,51,17,218.60999999999999,3,2,2,About to Sleep,Send wake-up campaigns and personalized coupons.,3
12422,30,107,1816.24,4,4,5,Loyal Customers,Strengthen relationship with exclusive offers and rewards.,3
12423,23,37,643.68,4,3,3,Potential Loyalists,Nurture with targeted recommendations and incentives.,3
12424,58,51,1089.1299999999999,3,3,4,Need Attention,Use personalized outreach and surveys.,3
12425,84,53,923.89,2,3,4,At Risk,Launch win-back campaigns and offer special discounts.,3
12426,298,46,690.48,1,3,3,At Risk,Launch win-back campaigns and offer special discounts.,2
12427,7,9,249.5,5,1,2,New Customers,Deliver a strong onboarding experience and welcome discounts.,3
12429,1,55,1858.3899999999999,5,3,5,Potential Loyalists,Nurture with targeted recommendations and incentives.,3
12431,9,159,3603.87,5,5,5,Champions,Reward with VIP programs and brand ambassador opportunities.,3
12433,2,236,5007.43,5,5,5,Champions,Reward with VIP programs and brand ambassador opportunities.,3
12434,17,19,287.34000000000003,4,2,2,Potential Loyalists,Nurture with targeted recommendations and incentives.,3
12435,32,44,2029.18,4,3,5,Potential Loyalists,Nurture with targeted recommendations and incentives.,3
12437,31,319,6074.54,4,5,5,Loyal Customers,Strengthen relationship with exclusive offers and rewards.,3
12439,318,67,1096.48,1,4,4,At Risk,Launch win-back campaigns and offer special discounts.,2
12440,98,28,699.4,2,2,3,Hibernating,Re-engage with reminder emails and promotions.,0
12441,2,10,155.55,5,1,1,New Customers,Deliver a strong onboarding experience and welcome discounts.,3
12443,368,17,281.65999999999997,1,2,2,Hibernating,Re-engage with reminder emails and promotions.,2
12445,56,20,301.58,3,2,2,About to Sleep,Send wake-up campaigns and personalized coupons.,3
12450,35,28,464.82,4,2,3,Potential Loyalists,Nurture with targeted recommendations and incentives.,3
12451,99,135,2786.52,2,5,5,Can't Lose Them,Offer strong retention incentives and appreciation messages.,0
12455,81,121,2146.19,2,5,5,Can't Lose Them,Offer strong retention incentives and appreciation messages.,3
12457,71,15,334.1,2,2,2,Hibernating,Re-engage with reminder emails and promotions.,3
12458,63,43,685.24,3,3,3,Need Attention,Use personalized outreach and surveys.,3
12459,241,19,343.35,1,2,2,Hibernating,Re-engage with reminder emails and promotions.,2
12460,92,14,236.95,2,1,2,Hibernating,Re-engage with reminder emails and promotions.,3
12467,59,9,132.8,3,1,1,About to Sleep,Send wake-up campaigns and personalized coupons.,3
12468,162,93,1895.32,2,4,5,At Risk,Launch win-back campaigns and offer special discounts.,0
12469,158,61,1021.3,2,4,4,At Risk,Launch win-back campaigns and offer special discounts.,0
12470,325,21,183.25,1,2,1,Hibernating,Re-engage with reminder emails and promotions.,2
12471,10,589,12814.7,5,5,5,Champions,Reward with VIP programs and brand ambassador opportunities.,3
12472,5,535,9587.86,5,5,5,Champions,Reward with VIP programs and brand ambassador opportunities.,3
12474,14,264,4301.84,5,5,5,Champions,Reward with VIP programs and brand ambassador opportunities.,3
12475,45,23,376.36,3,2,2,About to Sleep,Send wake-up campaigns and personalized coupons.,3
12476,33,246,5728.61,4,5,5,Loyal Customers,Strengthen relationship with exclusive offers and rewards.,3
12477,35,239,5351.23,4,5,5,Loyal Customers,Strengthen relationship with exclusive offers and rewards.,3
12480,35,75,1381.92,4,4,4,Loyal Customers,Strengthen relationship with exclusive offers and rewards.,3
12481,1,132,3607.25,5,5,5,Champions,Reward with VIP programs and brand ambassador opportunities.,3
12482,236,19,1005.0,1,2,4,Hibernating,Re-engage with reminder emails and promotions.,2
12483,14,46,1465.2,5,3,4,Potential Loyalists,Nurture with targeted recommendations and incentives.,3
12484,119,118,1253.61,2,5,4,Can't Lose Them,Offer strong retention incentives and appreciation messages.,0
12485,165,31,612.3,2,3,3,At Risk,Launch win-back campaigns and offer special discounts.,0
12486,67,42,780.9,3,3,4,Need Attention,Use personalized outreach and surveys.,3
12490,14,198,3597.63,5,5,5,Champions,Reward with VIP programs and brand ambassador opportunities.,3
12492,39,20,350.15,3,2,2,About to Sleep,Send wake-up campaigns and personalized coupons.,3
12494,1,27,450.1,5,2,3,Potential Loyalists,Nurture with targeted recommendations and incentives.,3
12495,276,16,277.4,1,2,2,Hibernating,Re-engage with reminder emails and promotions.,2
12496,256,13,54.09,1,1,1,Hibernating,Re-engage with reminder emails and promotions.,2
12499,196,24,314.15999999999997,1,2,2,Hibernating,Re-engage with reminder emails and promotions.,0
12500,71,73,1069.49,2,4,4,At Risk,Launch win-back campaigns and offer special discounts.,3
12504,53,6,129.0,3,1,1,About to Sleep,Send wake-up campaigns and personalized coupons.,3
12505,44,37,683.6,3,3,3,Need Attention,Use personalized outreach and surveys.,3
12507,220,24,379.25,1,2,2,Hibernating,Re-engage with reminder emails and promotions.,0
12510,95,97,1983.38,2,4,5,At Risk,Launch win-back campaigns and offer special discounts.,0
12511,64,169,2625.0099999999998,3,5,5,Loyal Customers,Strengthen relationship with exclusive offers and rewards.,3
12514,277,33,580.08,1,3,3,At Risk,Launch win-back campaigns and offer special discounts.,2
12516,66,33,699.6,3,3,3,Need Attention,Use personalized outreach and surveys.,3
12519,112,20,335.78,2,2,2,Hibernating,Re-engage with reminder emails and promotions.,0
12523,10,126,2134.29,5,5,5,Champions,Reward with VIP programs and brand ambassador opportunities.,3
12524,45,42,987.55,3,3,4,Need Attention,Use personalized outreach and surveys.,3
12525,134,55,814.08,2,3,4,At Risk,Launch win-back campaigns and offer special discounts.,0
12527,130,12,266.8,2,1,2,Hibernating,Re-engage with reminder emails and promotions.,0
12529,164,19,296.58,2,2,2,Hibernating,Re-engage with reminder emails and promotions.,0
12530,51,70,1214.77,3,4,4,Loyal Customers,Strengthen relationship with exclusive offers and rewards.,3
12531,322,106,1584.83,1,4,5,At Risk,Launch win-back campaigns and offer special discounts.,2
12533,263,66,1116.79,1,4,4,At Risk,Launch win-back campaigns and offer special discounts.,2
12537,44,41,602.99,3,3,3,Need Attention,Use personalized outreach and surveys.,3
12538,14,10,189.45,5,1,1,New Customers,Deliver a strong onboarding experience and welcome discounts.,3
12539,86,203,4064.5,2,5,5,Can't Lose Them,Offer strong retention incentives and appreciation messages.,3
12540,14,249,5677.75,5,5,5,Champions,Reward with VIP programs and brand ambassador opportunities.,3
12542,120,35,407.31,2,3,3,At Risk,Launch win-back campaigns and offer special discounts.,0
12543,84,38,656.8,2,3,3,At Risk,Launch win-back campaigns and offer special discounts.,3
12547,136,12,147.78,2,1,1,Hibernating,Re-engage with reminder emails and promotions.,0
12549,211,40,944.72,1,3,4,At Risk,Launch win-back campaigns and offer special discounts.,0
12553,21,41,667.07,4,3,3,Potential Loyalists,Nurture with targeted recommendations and incentives.,3
12554,84,24,364.59999999999997,2,2,2,Hibernating,Re-engage with reminder emails and promotions.,3
12562,21,34,753.9,4,3,4,Potential Loyalists,Nurture with targeted recommendations and incentives.,3
12563,44,12,221.24,3,1,2,About to Sleep,Send wake-up campaigns and personalized coupons.,3
12567,3,170,3151.62,5,5,5,Champions,Reward with VIP programs and brand ambassador opportunities.,3
12568,280,3,30.7,1,1,1,Hibernating,Re-engage with reminder emails and promotions.,2
12573,17,89,480.91,4,4,3,Loyal Customers,Strengthen relationship with exclusive offers and rewards.,3
12575,93,34,525.47,2,3,3,At Risk,Launch win-back campaigns and offer special discounts.,0
12576,28,51,721.8199999999999,4,3,3,Potential Loyalists,Nurture with targeted recommendations and incentives.,3
12577,17,152,907.21,4,5,4,Loyal Customers,Strengthen relationship with exclusive offers and rewards.,3
12578,21,50,1211.74,4,3,4,Potential Loyalists,Nurture with targeted recommendations and incentives.,3
12580,212,32,576.9,1,3,3,At Risk,Launch win-back campaigns and offer special discounts.,0
12582,58,74,1156.67,3,4,4,Loyal Customers,Strengthen relationship with exclusive offers and rewards.,3
12583,9,183,5647.24,5,5,5,Champions,Reward with VIP programs and brand ambassador opportunities.,3
12586,10,69,1435.68,5,4,4,Champions,Reward with VIP programs and brand ambassador opportunities.,3
12588,35,29,451.08,4,2,3,Potential Loyalists,Nurture with targeted recommendations and incentives.,3
12589,57,128,2292.73,3,5,5,Loyal Customers,Strengthen relationship with exclusive offers and rewards.,3
12591,26,38,682.65,4,3,3,Potential Loyalists,Nurture with targeted recommendations and incentives.,3
12592,155,40,918.84,2,3,4,At Risk,Launch win-back campaigns and offer special discounts.,0
12594,14,74,1358.49,5,4,4,Champions,Reward with VIP programs and brand ambassador opportunities.,3
12595,140,14,197.4,2,1,1,Hibernating,Re-engage with reminder emails and promotions.,0
12598,99,63,1104.86,2,4,4,At Risk,Launch win-back campaigns and offer special discounts.,0
12599,17,57,911.88,4,4,4,Loyal Customers,Strengthen relationship with exclusive offers and rewards.,3
12600,11,55,1968.68,5,3,5,Potential Loyalists,Nurture with targeted recommendations and incentives.,3
12601,40,3,60.3,3,1,1,About to Sleep,Send wake-up campaigns and personalized coupons.,3
12605,12,72,1117.0,5,4,4,Champions,Reward with VIP programs and brand ambassador opportunities.,3
12608,40,12,159.95000000000002,3,1,1,About to Sleep,Send wake-up campaigns and personalized coupons.,3
12609,10,103,1873.86,5,4,5,Champions,Reward with VIP programs and brand ambassador opportunities.,3
12613,24,161,2918.59,4,5,5,Loyal Customers,Strengthen relationship with exclusive offers and rewards.,3
12615,49,148,2790.62,3,5,5,Loyal Customers,Strengthen relationship with exclusive offers and rewards.,3
12616,24,19,342.0,4,2,2,Potential Loyalists,Nurture with targeted recommendations and incentives.,3
12619,196,9,127.38999999999999,1,1,1,Hibernating,Re-engage with reminder emails and promotions.,0
12621,1,232,5110.88,5,5,5,Champions,Reward with VIP programs and brand ambassador opportunities.,3
12623,52,144,2836.82,3,5,5,Loyal Customers,Strengthen relationship with exclusive offers and rewards.,3
12625,145,85,1964.92,2,4,5,At Risk,Launch win-back campaigns and offer special discounts.,0
12629,21,38,651.62,4,3,3,Potential Loyalists,Nurture with targeted recommendations and incentives.,3
12631,92,148,2642.07,2,5,5,Can't Lose Them,Offer strong retention incentives and appreciation messages.,3
12632,156,30,657.16,2,2,3,Hibernating,Re-engage with reminder emails and promotions.,0
12633,18,187,2969.23,4,5,5,Loyal Customers,Strengthen relationship with exclusive offers and rewards.,3
12634,184,19,360.0,1,2,2,Hibernating,Re-engage with reminder emails and promotions.,0
12635,28,72,1052.03,4,4,4,Loyal Customers,Strengthen relationship with exclusive offers and rewards.,3
12637,14,237,2111.95,5,5,5,Champions,Reward with VIP programs and brand ambassador opportunities.,3
12638,275,7,93.3,1,1,1,Hibernating,Re-engage with reminder emails and promotions.,2
12639,70,38,662.97,3,3,3,Need Attention,Use personalized outreach and surveys.,3
12644,66,75,1359.83,3,4,4,Loyal Customers,Strengthen relationship with exclusive offers and rewards.,3
12645,45,82,1560.72,3,4,5,Loyal Customers,Strengthen relationship with exclusive offers and rewards.,3
12647,3,355,7581.58,5,5,5,Champions,Reward with VIP programs and brand ambassador opportunities.,3
12648,73,39,643.45,2,3,3,At Risk,Launch win-back campaigns and offer special discounts.,3
12649,18,74,1235.24,4,4,4,Loyal Customers,Strengthen relationship with exclusive offers and rewards.,3
12651,14,21,263.75,5,2,2,Potential Loyalists,Nurture with targeted recommendations and incentives.,3
12652,70,3,97.05,3,1,1,About to Sleep,Send wake-up campaigns and personalized coupons.,3
12653,162,35,1292.88,2,3,4,At Risk,Launch win-back campaigns and offer special discounts.,0
12655,59,13,213.5,3,1,2,About to Sleep,Send wake-up campaigns and personalized coupons.,3
12656,61,111,1782.91,3,4,5,Loyal Customers,Strengthen relationship with exclusive offers and rewards.,3
12661,72,11,162.0,2,1,1,Hibernating,Re-engage with reminder emails and promotions.,3
12662,9,163,2755.49,5,5,5,Champions,Reward with VIP programs and brand ambassador opportunities.,3
12663,260,6,106.2,1,1,1,Hibernating,Re-engage with reminder emails and promotions.,2
12664,362,1,90.0,1,1,1,Hibernating,Re-engage with reminder emails and promotions.,2
12665,53,12,214.6,3,1,2,About to Sleep,Send wake-up campaigns and personalized coupons.,3
12666,30,27,876.02,4,2,4,Potential Loyalists,Nurture with targeted recommendations and incentives.,3
12668,14,351,6215.97,5,5,5,Champions,Reward with VIP programs and brand ambassador opportunities.,3
12670,21,19,533.04,4,2,3,Potential Loyalists,Nurture with targeted recommendations and incentives.,3
12671,242,32,1551.961,1,3,4,At Risk,Launch win-back campaigns and offer special discounts.,2
12672,231,10,171.2,1,1,1,Hibernating,Re-engage with reminder emails and promotions.,2
12673,37,29,466.3,3,2,3,About to Sleep,Send wake-up campaigns and personalized coupons.,3
12675,214,102,707.6,1,4,3,At Risk,Launch win-back campaigns and offer special discounts.,0
12676,44,51,1030.98,3,3,4,Need Attention,Use personalized outreach and surveys.,3
12677,191,19,359.1,1,2,2,Hibernating,Re-engage with reminder emails and promotions.,0
12678,11,39,965.62,5,3,4,Potential Loyalists,Nurture with targeted recommendations and incentives.,3
12681,3,751,13572.84,5,5,5,Champions,Reward with VIP programs and brand ambassador opportunities.,3
12682,1,469,9668.960000000001,5,5,5,Champions,Reward with VIP programs and brand ambassador opportunities.,3
12683,1,175,3361.0099999999998,5,5,5,Champions,Reward with VIP programs and brand ambassador opportunities.,3
12686,7,6,71.14,5,1,1,New Customers,Deliver a strong onboarding experience and welcome discounts.,3
12687,116,119,1737.47,2,5,5,Can't Lose Them,Offer strong retention incentives and appreciation messages.,0
12691,56,6,116.6,3,1,1,About to Sleep,Send wake-up campaigns and personalized coupons.,3
12692,273,13,110.95,1,1,1,Hibernating,Re-engage with reminder emails and promotions.,2
12693,32,35,661.91,4,3,3,Potential Loyalists,Nurture with targeted recommendations and incentives.,3
12694,57,33,523.43,3,3,3,Need Attention,Use personalized outreach and surveys.,3
12695,164,30,743.07,2,2,4,Hibernating,Re-engage with reminder emails and promotions.,0
12696,70,47,731.91,3,3,4,Need Attention,Use personalized outreach and surveys.,3
12698,226,12,218.45,1,1,2,Hibernating,Re-engage with reminder emails and promotions.,2
12699,53,38,517.26,3,3,3,Need Attention,Use personalized outreach and surveys.,3
12701,165,87,1456.8799999999999,2,4,4,At Risk,Launch win-back campaigns and offer special discounts.,0
12703,269,47,605.78,1,3,3,At Risk,Launch win-back campaigns and offer special discounts.,2
12705,19,257,4636.26,4,5,5,Loyal Customers,Strengthen relationship with exclusive offers and rewards.,3
12708,4,133,2125.92,5,5,5,Champions,Reward with VIP programs and brand ambassador opportunities.,3
12709,2,146,7172.79,5,5,5,Champions,Reward with VIP programs and brand ambassador opportunities.,3
12711,247,56,1107.45,1,3,4,At Risk,Launch win-back campaigns and offer special discounts.,2
12712,1,124,2266.55,5,5,5,Champions,Reward with VIP programs and brand ambassador opportunities.,3
12714,24,398,7671.0199999999995,4,5,5,Loyal Customers,Strengthen relationship with exclusive offers and rewards.,3
12717,226,15,227.93,1,2,2,Hibernating,Re-engage with reminder emails and promotions.,2
12720,5,144,2070.5,5,5,5,Champions,Reward with VIP programs and brand ambassador opportunities.,3
12721,21,68,1090.35,4,4,4,Loyal Customers,Strengthen relationship with exclusive offers and rewards.,3
12724,19,62,978.6,4,4,4,Loyal Customers,Strengthen relationship with exclusive offers and rewards.,3
12725,7,92,1543.12,5,4,4,Champions,Reward with VIP programs and brand ambassador opportunities.,3
12726,23,35,676.26,4,3,3,Potential Loyalists,Nurture with targeted recommendations and incentives.,3
12727,78,58,1383.83,2,4,4,At Risk,Launch win-back campaigns and offer special discounts.,3
12728,19,13,186.89,4,1,1,Promising,Encourage repeat purchases with cross-selling.,3
12730,157,45,684.3,2,3,3,At Risk,Launch win-back campaigns and offer special discounts.,0
12731,78,87,3433.6,2,4,5,At Risk,Launch win-back campaigns and offer special discounts.,3
12733,25,120,1566.67,4,5,5,Loyal Customers,Strengthen relationship with exclusive offers and rewards.,3
12734,10,12,208.55,5,1,2,New Customers,Deliver a strong onboarding experience and welcome discounts.,3
12738,8,9,127.39999999999999,5,1,1,New Customers,Deliver a strong onboarding experience and welcome discounts.,3
12739,30,39,743.89,4,3,4,Potential Loyalists,Nurture with targeted recommendations and incentives.,3
12741,169,15,236.07,2,2,2,Hibernating,Re-engage with reminder emails and promotions.,0
12742,261,65,1080.56,1,4,4,At Risk,Launch win-back campaigns and offer special discounts.,2
12744,95,101,2562.78,2,4,5,At Risk,Launch win-back campaigns and offer special discounts.,0
12745,122,17,485.93,2,2,3,Hibernating,Re-engage with reminder emails and promotions.,0
12746,176,17,254.55,2,2,2,Hibernating,Re-engage with reminder emails and promotions.,0
12747,5,140,3553.78,5,5,5,Champions,Reward with VIP programs and brand ambassador opportunities.,3
12748,1,2481,14724.94,5,5,5,Champions,Reward with VIP programs and brand ambassador opportunities.,3
12749,35,109,1923.78,4,4,5,Loyal Customers,Strengthen relationship with exclusive offers and rewards.,3
12751,80,62,268.27,2,4,2,At Risk,Launch win-back campaigns and offer special discounts.,3
12755,21,45,570.51,4,3,3,Potential Loyalists,Nurture with targeted recommendations and incentives.,3
12758,95,165,3988.19,2,5,5,Can't Lose Them,Offer strong retention incentives and appreciation messages.,3
12759,22,191,3004.64,4,5,5,Loyal Customers,Strengthen relationship with exclusive offers and rewards.,3
12760,91,20,317.8,2,2,2,Hibernating,Re-engage with reminder emails and promotions.,3
12761,100,23,559.95,2,2,3,Hibernating,Re-engage with reminder emails and promotions.,0
12763,5,16,320.08,5,2,2,Potential Loyalists,Nurture with targeted recommendations and incentives.,3
12765,108,59,1097.98,2,4,4,At Risk,Launch win-back campaigns and offer special discounts.,0
12766,2,133,2046.55,5,5,5,Champions,Reward with VIP programs and brand ambassador opportunities.,3
12767,11,40,805.46,5,3,4,Potential Loyalists,Nurture with targeted recommendations and incentives.,3
12768,86,9,150.45,2,1,1,Hibernating,Re-engage with reminder emails and promotions.,3
12770,92,4,522.0,2,1,3,Hibernating,Re-engage with reminder emails and promotions.,3
12771,121,12,186.5,2,1,1,Hibernating,Re-engage with reminder emails and promotions.,0
12773,200,5,37.25,1,1,1,Hibernating,Re-engage with reminder emails and promotions.,0
12774,171,5,83.7,2,1,1,Hibernating,Re-engage with reminder emails and promotions.,0
12775,24,11,231.92,4,1,2,Promising,Encourage repeat purchases with cross-selling.,3
12776,303,3,27.5,1,1,1,Hibernating,Re-engage with reminder emails and promotions.,2
12777,93,21,386.1,2,2,3,Hibernating,Re-engage with reminder emails and promotions.,0
12778,32,53,716.92,4,3,3,Potential Loyalists,Nurture with targeted recommendations and incentives.,3
12779,7,120,2383.21,5,5,5,Champions,Reward with VIP programs and brand ambassador opportunities.,3
12780,234,16,242.28,1,2,2,Hibernating,Re-engage with reminder emails and promotions.,2
12782,10,114,1858.62,5,4,5,Champions,Reward with VIP programs and brand ambassador opportunities.,3
12784,165,66,943.18,2,4,4,At Risk,Launch win-back campaigns and offer special discounts.,0
12785,171,33,510.45,2,3,3,At Risk,Launch win-back campaigns and offer special discounts.,0
12786,245,15,548.5,1,2,3,Hibernating,Re-engage with reminder emails and promotions.,2
12787,49,23,380.52,3,2,2,About to Sleep,Send wake-up campaigns and personalized coupons.,3
12788,99,22,384.9,2,2,2,Hibernating,Re-engage with reminder emails and promotions.,0
12789,148,2,148.5,2,1,1,Hibernating,Re-engage with reminder emails and promotions.,0
12790,46,11,158.33,3,1,1,About to Sleep,Send wake-up campaigns and personalized coupons.,3
12791,236,20,378.43,1,2,2,Hibernating,Re-engage with reminder emails and promotions.,2
12792,170,19,337.82,2,2,2,Hibernating,Re-engage with reminder emails and promotions.,0
12793,7,25,387.85,5,2,3,Potential Loyalists,Nurture with targeted recommendations and incentives.,3
12797,1,26,435.43,5,2,3,Potential Loyalists,Nurture with targeted recommendations and incentives.,3
12798,57,13,43.49,3,1,1,About to Sleep,Send wake-up campaigns and personalized coupons.,3
12799,165,14,202.4,2,1,2,Hibernating,Re-engage with reminder emails and promotions.,0
12800,106,32,500.25,2,3,3,At Risk,Launch win-back campaigns and offer special discounts.,0
12801,136,44,716.35,2,3,3,At Risk,Launch win-back campaigns and offer special discounts.,0
12802,80,102,1600.62,2,4,5,At Risk,Launch win-back campaigns and offer special discounts.,3
12803,29,51,874.41,4,3,4,Potential Loyalists,Nurture with targeted recommendations and incentives.,3
12804,101,64,289.21999999999997,2,4,2,At Risk,Launch win-back campaigns and offer special discounts.,0
12805,17,52,1065.35,4,3,4,Potential Loyalists,Nurture with targeted recommendations and incentives.,3
12806,208,38,676.56,1,3,3,At Risk,Launch win-back campaigns and offer special discounts.,0
12807,19,12,193.6,4,1,1,Promising,Encourage repeat purchases with cross-selling.,3
12808,4,25,394.45,5,2,3,Potential Loyalists,Nurture with targeted recommendations and incentives.,3
12809,201,45,804.83,1,3,4,At Risk,Launch win-back campaigns and offer special discounts.,0
12810,170,31,474.99,2,3,3,At Risk,Launch win-back campaigns and offer special discounts.,0
12811,14,23,435.05,5,2,3,Potential Loyalists,Nurture with targeted recommendations and incentives.,3
12813,137,34,915.8,2,3,4,At Risk,Launch win-back campaigns and offer special discounts.,0
12817,35,19,444.94,4,2,3,Potential Loyalists,Nurture with targeted recommendations and incentives.,3
12819,94,15,369.28,2,2,2,Hibernating,Re-engage with reminder emails and promotions.,0
12820,33,86,1451.19,4,4,4,Loyal Customers,Strengthen relationship with exclusive offers and rewards.,3
12821,247,7,128.07999999999998,1,1,1,Hibernating,Re-engage with reminder emails and promotions.,2
12825,157,16,260.28,2,2,2,Hibernating,Re-engage with reminder emails and promotions.,0
12826,1,71,1296.08,5,4,4,Champions,Reward with VIP programs and brand ambassador opportunities.,3
12829,186,4,34.92,1,1,1,Hibernating,Re-engage with reminder emails and promotions.,0
12831,99,11,190.4,2,1,1,Hibernating,Re-engage with reminder emails and promotions.,0
12835,63,601,5716.96,3,5,5,Loyal Customers,Strengthen relationship with exclusive offers and rewards.,3
12836,25,209,2787.51,4,5,5,Loyal Customers,Strengthen relationship with exclusive offers and rewards.,3
12837,205,73,412.26,1,4,3,At Risk,Launch win-back campaigns and offer special discounts.,0
12838,9,287,2089.91,5,5,5,Champions,Reward with VIP programs and brand ambassador opportunities.,3
12839,3,247,4010.33,5,5,5,Champions,Reward with VIP programs and brand ambassador opportunities.,3
12840,73,59,1028.54,2,4,4,At Risk,Launch win-back campaigns and offer special discounts.,3
12841,5,248,2669.62,5,5,5,Champions,Reward with VIP programs and brand ambassador opportunities.,3
12842,40,12,391.0,3,1,3,About to Sleep,Send wake-up campaigns and personalized coupons.,3
12843,18,86,2030.31,4,4,5,Loyal Customers,Strengthen relationship with exclusive offers and rewards.,3
12844,78,48,280.84000000000003,2,3,2,At Risk,Launch win-back campaigns and offer special discounts.,3
12847,23,28,432.14,4,2,3,Potential Loyalists,Nurture with targeted recommendations and incentives.,3
12848,311,13,154.3,1,1,1,Hibernating,Re-engage with reminder emails and promotions.,2
12849,17,74,1246.53,4,4,4,Loyal Customers,Strengthen relationship with exclusive offers and rewards.,3
12851,113,28,110.7,2,2,1,Hibernating,Re-engage with reminder emails and promotions.,0
12853,63,61,1319.2,3,4,4,Loyal Customers,Strengthen relationship with exclusive offers and rewards.,3
