Customer ID,Recency,Frequency,Monetary,KMeans_Cluster,Cluster_Persona
12481,1,132,3607.25,3,Potential Loyalists
12482,236,19,1005.0,2,Hibernating / Low-Value
12483,14,46,1465.2,3,Potential Loyalists
12484,119,118,1253.61,0,At-Risk Customers
12485,165,31,612.3,0,At-Risk Customers
12486,67,42,780.9,3,Potential Loyalists
12490,14,198,3597.63,3,Potential Loyalists
12492,39,20,350.15,3,Potential Loyalists
12494,1,27,450.1,3,Potential Loyalists
12495,276,16,277.4,2,Hibernating / Low-Value
12496,256,13,54.09,2,Hibernating / Low-Value
12499,196,24,314.15999999999997,0,At-Risk Customers
12500,71,73,1069.49,3,Potential Loyalists
12504,53,6,129.0,3,Potential Loyalists
12505,44,37,683.6,3,Potential Loyalists
12507,220,24,379.25,0,At-Risk Customers
12510,95,97,1983.38,0,At-Risk Customers
12511,64,169,2625.0099999999998,3,Potential Loyalists
12514,277,33,580.08,2,Hibernating / Low-Value
12516,66,33,699.6,3,Potential Loyalists
12519,112,20,335.78,0,At-Risk Customers
12523,10,126,2134.29,3,Potential Loyalists
12524,45,42,987.55,3,Potential Loyalists
12525,134,55,814.08,0,At-Risk Customers
12527,130,12,266.8,0,At-Risk Customers
12529,164,19,296.58,0,At-Risk Customers
12530,51,70,1214.77,3,Potential Loyalists
12531,322,106,1584.83,2,Hibernating / Low-Value
12533,263,66,1116.79,2,Hibernating / Low-Value
12537,44,41,602.99,3,Potential Loyalists
12538,14,10,189.45,3,Potential Loyalists
12539,86,203,4064.5,3,Potential Loyalists
12540,14,249,5677.75,3,Potential Loyalists
12542,120,35,407.31,0,At-Risk Customers
12543,84,38,656.8,3,Potential Loyalists
12547,136,12,147.78,0,At-Risk Customers
12549,211,40,944.72,0,At-Risk Customers
12553,21,41,667.07,3,Potential Loyalists
12554,84,24,364.59999999999997,3,Potential Loyalists
12562,21,34,753.9,3,Potential Loyalists
12563,44,12,221.24,3,Potential Loyalists
12567,3,170,3151.62,3,Potential Loyalists
12568,280,3,30.7,2,Hibernating / Low-Value
12573,17,89,480.91,3,Potential Loyalists
12575,93,34,525.47,0,At-Risk Customers
12576,28,51,721.8199999999999,3,Potential Loyalists
12577,17,152,907.21,3,Potential Loyalists
12578,21,50,1211.74,3,Potential Loyalists
12580,212,32,576.9,0,At-Risk Customers
12582,58,74,1156.67,3,Potential Loyalists
12583,9,183,5647.24,3,Potential Loyalists
12586,10,69,1435.68,3,Potential Loyalists
12588,35,29,451.08,3,Potential Loyalists
12589,57,128,2292.73,3,Potential Loyalists
12591,26,38,682.65,3,Potential Loyalists
12592,155,40,918.84,0,At-Risk Customers
12594,14,74,1358.49,3,Potential Loyalists
12595,140,14,197.4,0,At-Risk Customers
12598,99,63,1104.86,0,At-Risk Customers
12599,17,57,911.88,3,Potential Loyalists
12600,11,55,1968.68,3,Potential Loyalists
12601,40,3,60.3,3,Potential Loyalists
12605,12,72,1117.0,3,Potential Loyalists
12608,40,12,159.95000000000002,3,Potential Loyalists
12609,10,103,1873.86,3,Potential Loyalists
12613,24,161,2918.59,3,Potential Loyalists
12615,49,148,2790.62,3,Potential Loyalists
12616,24,19,342.0,3,Potential Loyalists
12619,196,9,127.38999999999999,0,At-Risk Customers
12621,1,232,5110.88,3,Potential Loyalists
12623,52,144,2836.82,3,Potential Loyalists
12625,145,85,1964.92,0,At-Risk Customers
12629,21,38,651.62,3,Potential Loyalists
12631,92,148,2642.07,3,Potential Loyalists
12632,156,30,657.16,0,At-Risk Customers
12633,18,187,2969.23,3,Potential Loyalists
12634,184,19,360.0,0,At-Risk Customers
12635,28,72,1052.03,3,Potential Loyalists
12637,14,237,2111.95,3,Potential Loyalists
12638,275,7,93.3,2,Hibernating / Low-Value
12639,70,38,662.97,3,Potential Loyalists
12644,66,75,1359.83,3,Potential Loyalists
12645,45,82,1560.72,3,Potential Loyalists
12647,3,355,7581.58,3,Potential Loyalists
12648,73,39,643.45,3,Potential Loyalists
12649,18,74,1235.24,3,Potential Loyalists
12651,14,21,263.75,3,Potential Loyalists
12652,70,3,97.05,3,Potential Loyalists
12653,162,35,1292.88,0,At-Risk Customers
12655,59,13,213.5,3,Potential Loyalists
12656,61,111,1782.91,3,Potential Loyalists
12661,72,11,162.0,3,Potential Loyalists
12662,9,163,2755.49,3,Potential Loyalists
12663,260,6,106.2,2,Hibernating / Low-Value
12664,362,1,90.0,2,Hibernating / Low-Value
12665,53,12,214.6,3,Potential Loyalists
12666,30,27,876.02,3,Potential Loyalists
12668,14,351,6215.97,3,Potential Loyalists
12670,21,19,533.04,3,Potential Loyalists
12671,242,32,1551.961,2,Hibernating / Low-Value
12672,231,10,171.2,2,Hibernating / Low-Value
12673,37,29,466.3,3,Potential Loyalists
12675,214,102,707.6,0,At-Risk Customers
12676,44,51,1030.98,3,Potential Loyalists
12677,191,19,359.1,0,At-Risk Customers
12678,11,39,965.62,3,Potential Loyalists
12681,3,751,13572.84,3,Potential Loyalists
12682,1,469,9668.960000000001,3,Potential Loyalists
12683,1,175,3361.0099999999998,3,Potential Loyalists
12686,7,6,71.14,3,Potential Loyalists
12687,116,119,1737.47,0,At-Risk Customers
12691,56,6,116.6,3,Potential Loyalists
12692,273,13,110.95,2,Hibernating / Low-Value
12693,32,35,661.91,3,Potential Loyalists
12694,57,33,523.43,3,Potential Loyalists
12695,164,30,743.07,0,At-Risk Customers
12696,70,47,731.91,3,Potential Loyalists
12698,226,12,218.45,2,Hibernating / Low-Value
12699,53,38,517.26,3,Potential Loyalists
12701,165,87,1456.8799999999999,0,At-Risk Customers
12703,269,47,605.78,2,Hibernating / Low-Value
12705,19,257,4636.26,3,Potential Loyalists
12708,4,133,2125.92,3,Potential Loyalists
12709,2,146,7172.79,3,Potential Loyalists
12711,247,56,1107.45,2,Hibernating / Low-Value
12712,1,124,2266.55,3,Potential Loyalists
12714,24,398,7671.0199999999995,3,Potential Loyalists
12717,226,15,227.93,2,Hibernating / Low-Value
12720,5,144,2070.5,3,Potential Loyalists
12721,21,68,1090.35,3,Potential Loyalists
12724,19,62,978.6,3,Potential Loyalists
12725,7,92,1543.12,3,Potential Loyalists
12726,23,35,676.26,3,Potential Loyalists
12727,78,58,1383.83,3,Potential Loyalists
12728,19,13,186.89,3,Potential Loyalists
12730,157,45,684.3,0,At-Risk Customers
12731,78,87,3433.6,3,Potential Loyalists
12733,25,120,1566.67,3,Potential Loyalists
12734,10,12,208.55,3,Potential Loyalists
12738,8,9,127.39999999999999,3,Potential Loyalists
12739,30,39,743.89,3,Potential Loyalists
12741,169,15,236.07,0,At-Risk Customers
12742,261,65,1080.56,2,Hibernating / Low-Value
12744,95,101,2562.78,0,At-Risk Customers
12745,122,17,485.93,0,At-Risk Customers
12746,176,17,254.55,0,At-Risk Customers
12747,5,140,3553.78,3,Potential Loyalists
12748,1,2481,14724.94,3,Potential Loyalists
12749,35,109,1923.78,3,Potential Loyalists
12751,80,62,268.27,3,Potential Loyalists
12755,21,45,570.51,3,Potential Loyalists
12758,95,165,3988.19,3,Potential Loyalists
12759,22,191,3004.64,3,Potential Loyalists
12760,91,20,317.8,3,Potential Loyalists
12761,100,23,559.95,0,At-Risk Customers
12763,5,16,320.08,3,Potential Loyalists
12765,108,59,1097.98,0,At-Risk Customers
12766,2,133,2046.55,3,Potential Loyalists
12767,11,40,805.46,3,Potential Loyalists
12768,86,9,150.45,3,Potential Loyalists
12770,92,4,522.0,3,Potential Loyalists
12771,121,12,186.5,0,At-Risk Customers
12773,200,5,37.25,0,At-Risk Customers
12774,171,5,83.7,0,At-Risk Customers
12775,24,11,231.92,3,Potential Loyalists
12776,303,3,27.5,2,Hibernating / Low-Value
12777,93,21,386.1,0,At-Risk Customers
12778,32,53,716.92,3,Potential Loyalists
12779,7,120,2383.21,3,Potential Loyalists
12780,234,16,242.28,2,Hibernating / Low-Value
12782,10,114,1858.62,3,Potential Loyalists
12784,165,66,943.18,0,At-Risk Customers
12785,171,33,510.45,0,At-Risk Customers
12786,245,15,548.5,2,Hibernating / Low-Value
12787,49,23,380.52,3,Potential Loyalists
12788,99,22,384.9,0,At-Risk Customers
12789,148,2,148.5,0,At-Risk Customers
12790,46,11,158.33,3,Potential Loyalists
12791,236,20,378.43,2,Hibernating / Low-Value
12792,170,19,337.82,0,At-Risk Customers
12793,7,25,387.85,3,Potential Loyalists
12797,1,26,435.43,3,Potential Loyalists
12798,57,13,43.49,3,Potential Loyalists
12799,165,14,202.4,0,At-Risk Customers
12800,106,32,500.25,0,At-Risk Customers
12801,136,44,716.35,0,At-Risk Customers
12802,80,102,1600.62,3,Potential Loyalists
12803,29,51,874.41,3,Potential Loyalists
12804,101,64,289.21999999999997,0,At-Risk Customers
12805,17,52,1065.35,3,Potential Loyalists
12806,208,38,676.56,0,At-Risk Customers
12807,19,12,193.6,3,Potential Loyalists
12808,4,25,394.45,3,Potential Loyalists
12809,201,45,804.83,0,At-Risk Customers
12810,170,31,474.99,0,At-Risk Customers
12811,14,23,435.05,3,Potential Loyalists
12813,137,34,915.8,0,At-Risk Customers
12817,35,19,444.94,3,Potential Loyalists
12819,94,15,369.28,0,At-Risk Customers
12820,33,86,1451.19,3,Potential Loyalists
12821,247,7,128.07999999999998,2,Hibernating / Low-Value
12825,157,16,260.28,0,At-Risk Customers
12826,1,71,1296.08,3,Potential Loyalists
12829,186,4,34.92,0,At-Risk Customers
12831,99,11,190.4,0,At-Risk Customers
12835,63,601,5716.96,3,Potential Loyalists
12836,25,209,2787.51,3,Potential Loyalists
12837,205,73,412.26,0,At-Risk Customers
12838,9,287,2089.91,3,Potential Loyalists
12839,3,247,4010.33,3,Potential Loyalists
12840,73,59,1028.54,3,Potential Loyalists
12841,5,248,2669.62,3,Potential Loyalists
12842,40,12,391.0,3,Potential Loyalists
12843,18,86,2030.31,3,Potential Loyalists
12844,78,48,280.84000000000003,3,Potential Loyalists
12847,23,28,432.14,3,Potential Loyalists
12848,311,13,154.3,2,Hibernating / Low-Value
12849,17,74,1246.53,3,Potential Loyalists
12851,113,28,110.7,0,At-Risk Customers
12853,63,61,1319.2,3,Potential Loyalists
12854,197,146,1495.12,0,At-Risk Customers
12855,8,63,386.04,3,Potential Loyalists
12857,72,67,1678.35,3,Potential Loyalists
12858,19,48,157.97,3,Potential Loyalists
12859,94,19,462.9,0,At-Risk Customers
12860,329,16,42.72,2,Hibernating / Low-Value
12861,255,3,55.5,2,Hibernating / Low-Value
12862,61,123,827.42,3,Potential Loyalists
12863,15,30,894.05,3,Potential Loyalists
12864,144,1,0.95,0,At-Risk Customers
12865,14,93,1579.58,3,Potential Loyalists
12866,110,34,586.93,0,At-Risk Customers
12867,33,518,3738.62,3,Potential Loyalists
12868,9,39,640.0,3,Potential Loyalists
12869,317,35,230.57,2,Hibernating / Low-Value
12870,11,81,1278.14,3,Potential Loyalists
12871,75,1,17.0,3,Potential Loyalists
12872,1,361,2861.47,3,Potential Loyalists
12873,33,24,943.3,3,Potential Loyalists
12874,21,39,706.7,3,Potential Loyalists
12876,30,74,1299.56,3,Potential Loyalists
12877,37,121,1402.73,3,Potential Loyalists
12880,17,35,613.73,3,Potential Loyalists
12887,19,11,194.7,3,Potential Loyalists
12889,17,23,344.06,3,Potential Loyalists
12890,23,55,289.25,3,Potential Loyalists
12892,32,17,253.43,3,Potential Loyalists
12894,211,18,111.9,0,At-Risk Customers
12897,17,9,239.75,3,Potential Loyalists
12898,295,31,158.32,2,Hibernating / Low-Value
12899,49,14,243.85,3,Potential Loyalists
12900,58,12,302.08,3,Potential Loyalists
12903,64,38,785.85,3,Potential Loyalists
12905,212,45,755.14,0,At-Risk Customers
12907,31,20,403.71,3,Potential Loyalists
12909,60,59,799.16,3,Potential Loyalists
12910,15,34,1388.8,3,Potential Loyalists
12911,187,233,1371.84,0,At-Risk Customers
12913,4,27,1103.5,3,Potential Loyalists
12914,36,6,81.06,3,Potential Loyalists
12915,8,38,620.55,3,Potential Loyalists
12916,78,64,1116.69,3,Potential Loyalists
12917,36,33,699.6,3,Potential Loyalists
12920,207,31,317.56,0,At-Risk Customers
12921,2,725,15013.14,3,Potential Loyalists
12923,26,27,444.75,3,Potential Loyalists
12924,29,39,686.8199999999999,3,Potential Loyalists
12925,228,4,25.2,2,Hibernating / Low-Value
12926,47,268,1472.16,3,Potential Loyalists
12927,30,10,180.36,3,Potential Loyalists
12928,14,85,1739.81,3,Potential Loyalists
12931,185,8,514.68,0,At-Risk Customers
12932,175,84,1271.78,0,At-Risk Customers
12933,16,176,924.65,3,Potential Loyalists
12935,11,112,1895.11,3,Potential Loyalists
12937,99,89,1232.69,0,At-Risk Customers
12939,25,2,162.72,3,Potential Loyalists
12941,360,24,304.77,2,Hibernating / Low-Value
12942,1,14,207.75,3,Potential Loyalists
12943,194,16,224.5,0,At-Risk Customers
12945,292,28,437.16,2,Hibernating / Low-Value
12946,72,18,293.8,3,Potential Loyalists
12947,9,15,264.24,3,Potential Loyalists
12948,366,6,117.0,2,Hibernating / Low-Value
12949,18,453,10039.74,3,Potential Loyalists
12951,22,129,2121.75,3,Potential Loyalists
12953,158,28,433.65999999999997,0,At-Risk Customers
12954,274,9,136.95,2,Hibernating / Low-Value
12956,320,22,399.9,2,Hibernating / Low-Value
12957,177,231,4255.15,0,At-Risk Customers
12958,36,54,451.09000000000003,3,Potential Loyalists
12959,120,5,63.6,0,At-Risk Customers
12960,49,61,1071.07,3,Potential Loyalists
12961,15,39,198.07,3,Potential Loyalists
12963,1,88,1646.37,3,Potential Loyalists
12964,73,26,132.24,3,Potential Loyalists
12967,7,49,1233.42,3,Potential Loyalists
12969,238,4,109.7,2,Hibernating / Low-Value
12970,16,226,909.73,3,Potential Loyalists
12971,2,93,2861.01,3,Potential Loyalists
12972,49,67,946.52,3,Potential Loyalists
12973,49,4,70.05,3,Potential Loyalists
12974,201,24,264.15,0,At-Risk Customers
12975,72,99,1710.77,3,Potential Loyalists
12976,14,119,2078.3,3,Potential Loyalists
12977,137,46,314.74,0,At-Risk Customers
12978,21,158,2370.98,3,Potential Loyalists
12979,365,50,320.91,2,Hibernating / Low-Value
12980,51,6,527.76,3,Potential Loyalists
12982,30,136,2134.39,3,Potential Loyalists
12983,234,22,314.88,2,Hibernating / Low-Value
12986,64,85,1768.57,3,Potential Loyalists
12987,56,31,547.46,3,Potential Loyalists
12989,133,12,917.7,0,At-Risk Customers
12990,86,9,253.5,3,Potential Loyalists
12991,25,10,165.76,3,Potential Loyalists
12992,361,6,93.35,2,Hibernating / Low-Value
12993,81,45,768.75,3,Potential Loyalists
12996,11,17,246.95,3,Potential Loyalists
12997,30,46,860.28,3,Potential Loyalists
12998,128,51,707.12,0,At-Risk Customers
13000,361,29,465.8,2,Hibernating / Low-Value
13001,40,647,10925.47,3,Potential Loyalists
13002,52,16,293.18,3,Potential Loyalists
13004,22,388,5538.64,3,Potential Loyalists
13005,67,25,353.83,3,Potential Loyalists
13007,215,7,116.1,0,At-Risk Customers
13008,33,20,331.66,3,Potential Loyalists
13010,10,8,242.39999999999998,3,Potential Loyalists
13011,8,3,50.55,3,Potential Loyalists
13012,65,59,1209.98,3,Potential Loyalists
13013,7,307,6745.48,3,Potential Loyalists
13014,68,104,1695.34,3,Potential Loyalists
13015,74,148,2287.77,3,Potential Loyalists
13018,49,132,2053.2599999999998,3,Potential Loyalists
13019,15,54,1204.45,3,Potential Loyalists
13020,198,39,618.96,0,At-Risk Customers
13021,10,115,2040.94,3,Potential Loyalists
13022,65,4,50.3,3,Potential Loyalists
13023,164,26,410.66,0,At-Risk Customers
13024,106,26,468.02,0,At-Risk Customers
13025,367,10,203.15,2,Hibernating / Low-Value
13026,227,36,578.4399999999999,2,Hibernating / Low-Value
13029,10,5,81.0,3,Potential Loyalists
13030,4,56,337.49,3,Potential Loyalists
13031,43,409,3049.64,3,Potential Loyalists
13032,28,125,1380.1200000000001,3,Potential Loyalists
13033,65,2,30.0,3,Potential Loyalists
13034,5,18,279.90999999999997,3,Potential Loyalists
13035,67,12,300.0,3,Potential Loyalists
13036,320,2,49.0,2,Hibernating / Low-Value
13037,35,172,2751.29,3,Potential Loyalists
13039,220,43,800.73,0,At-Risk Customers
13041,86,32,623.63,3,Potential Loyalists
13042,234,190,1402.59,2,Hibernating / Low-Value
13044,128,350,3374.16,0,At-Risk Customers
13045,37,26,493.69,3,Potential Loyalists
13046,92,21,319.94,3,Potential Loyalists
13047,9,176,3869.66,3,Potential Loyalists
13048,72,131,2144.62,3,Potential Loyalists
13049,25,9,362.76,3,Potential Loyalists
13050,2,567,5666.77,3,Potential Loyalists
13051,214,3,80.8,0,At-Risk Customers
13052,56,224,2578.48,3,Potential Loyalists
13053,257,17,127.65,2,Hibernating / Low-Value
13055,65,74,1028.1299999999999,3,Potential Loyalists
13056,187,15,148.82999999999998,0,At-Risk Customers
13057,166,35,372.2,0,At-Risk Customers
13059,49,173,1758.57,3,Potential Loyalists
13063,116,12,188.4,0,At-Risk Customers
13064,186,22,398.0,0,At-Risk Customers
13065,9,56,965.25,3,Potential Loyalists
13067,45,15,363.2,3,Potential Loyalists
13069,5,662,3426.11,3,Potential Loyalists
13070,95,23,464.4,0,At-Risk Customers
13071,248,10,78.22,2,Hibernating / Low-Value
13073,47,24,347.33,3,Potential Loyalists
13074,147,20,481.5,0,At-Risk Customers
13076,93,9,135.4,0,At-Risk Customers
13077,2,223,2168.87,3,Potential Loyalists
13078,2,398,13001.03,3,Potential Loyalists
13079,53,11,199.08,3,Potential Loyalists
13080,37,12,202.75,3,Potential Loyalists
13081,7,1179,22300.52,3,Potential Loyalists
13082,60,38,1039.56,3,Potential Loyalists
13083,61,2,10.08,3,Potential Loyalists
13085,315,61,1916.4,2,Hibernating / Low-Value
13086,18,46,429.38,3,Potential Loyalists
13087,362,12,228.44,2,Hibernating / Low-Value
13088,53,19,197.86,3,Potential Loyalists
13089,4,1287,33332.43,3,Potential Loyalists
13090,1,106,2303.02,3,Potential Loyalists
13091,365,11,307.7,2,Hibernating / Low-Value
13092,50,60,1191.0,3,Potential Loyalists
13093,9,616,19752.72,3,Potential Loyalists
13094,25,3,145.8,3,Potential Loyalists
13097,24,563,6194.52,3,Potential Loyalists
13101,134,39,478.11,0,At-Risk Customers
13102,1,165,4185.76,3,Potential Loyalists
13103,73,25,465.7,3,Potential Loyalists
13104,51,5,289.98,3,Potential Loyalists
13106,49,12,172.4,3,Potential Loyalists
13107,49,88,1999.21,3,Potential Loyalists
13108,8,29,551.3,3,Potential Loyalists
13109,187,21,311.90999999999997,0,At-Risk Customers
13110,73,98,1204.25,3,Potential Loyalists
13111,354,11,311.8,2,Hibernating / Low-Value
13112,177,2,20.599999999999998,0,At-Risk Customers
13113,2,166,3576.77,3,Potential Loyalists
13114,366,13,195.73,2,Hibernating / Low-Value
13115,15,183,3004.0299999999997,3,Potential Loyalists
13117,1,107,1567.44,3,Potential Loyalists
13118,12,59,987.95,3,Potential Loyalists
13119,304,11,134.9,2,Hibernating / Low-Value
13123,108,42,457.0,0,At-Risk Customers
13124,21,58,799.41,3,Potential Loyalists
13125,159,17,113.17,0,At-Risk Customers
13126,2,104,1773.54,3,Potential Loyalists
13129,88,9,163.95,3,Potential Loyalists
13131,54,95,1699.3700000000001,3,Potential Loyalists
13133,95,4,65.15,0,At-Risk Customers
13134,38,20,466.25,3,Potential Loyalists
13135,127,15,231.0,0,At-Risk Customers
13136,11,181,3472.41,3,Potential Loyalists
13137,22,722,3767.29,3,Potential Loyalists
13138,8,35,492.1,3,Potential Loyalists
13139,73,74,1973.06,3,Potential Loyalists
13140,2,69,633.91,3,Potential Loyalists
13141,21,264,4431.34,3,Potential Loyalists
13143,220,23,405.1,0,At-Risk Customers
13144,67,3,24.4,3,Potential Loyalists
13145,152,2,204.0,0,At-Risk Customers
13148,25,443,4289.47,3,Potential Loyalists
13150,120,3,49.55,0,At-Risk Customers
13151,261,92,1076.8700000000001,2,Hibernating / Low-Value
13152,53,123,1929.48,3,Potential Loyalists
13154,35,86,1367.79,3,Potential Loyalists
13155,4,77,755.72,3,Potential Loyalists
13156,21,95,1433.75,3,Potential Loyalists
13157,45,137,3196.66,3,Potential Loyalists
13158,24,21,307.12,3,Potential Loyalists
13161,136,24,320.73,0,At-Risk Customers
13162,16,122,4888.18,3,Potential Loyalists
13163,246,2,17.65,2,Hibernating / Low-Value
13164,205,6,87.4,0,At-Risk Customers
13165,49,3,51.36,3,Potential Loyalists
13166,50,25,350.15999999999997,3,Potential Loyalists
13167,26,15,318.7,3,Potential Loyalists
13168,178,45,414.82,0,At-Risk Customers
13169,198,4,107.30000000000001,0,At-Risk Customers
13173,3,190,1875.52,3,Potential Loyalists
13174,5,780,5957.83,3,Potential Loyalists
13175,218,42,669.15,0,At-Risk Customers
13177,66,13,229.75,3,Potential Loyalists
13178,33,412,7761.47,3,Potential Loyalists
13179,254,34,572.31,2,Hibernating / Low-Value
13180,243,4,86.1,2,Hibernating / Low-Value
13181,17,19,359.69,3,Potential Loyalists
13183,30,34,604.0,3,Potential Loyalists
13187,260,27,130.99,2,Hibernating / Low-Value
13190,180,12,237.0,0,At-Risk Customers
13191,294,59,164.69,2,Hibernating / Low-Value
13192,171,90,1495.49,0,At-Risk Customers
13194,57,5,289.2,3,Potential Loyalists
13195,50,51,162.43,3,Potential Loyalists
13196,79,69,1056.41,3,Potential Loyalists
13197,245,18,293.11,2,Hibernating / Low-Value
13198,23,85,1442.24,3,Potential Loyalists
13199,2,56,2351.46,3,Potential Loyalists
13201,138,80,1026.44,0,At-Risk Customers
13202,30,64,1353.15,3,Potential Loyalists
13203,22,105,1612.73,3,Potential Loyalists
13204,367,52,878.76,2,Hibernating / Low-Value
13206,36,531,6842.4,3,Potential Loyalists
13207,87,5,285.6,3,Potential Loyalists
13208,85,95,589.2,3,Potential Loyalists
13209,150,21,914.8,0,At-Risk Customers
13211,33,143,808.19,3,Potential Loyalists
13213,19,99,1599.65,3,Potential Loyalists
13214,53,216,3066.82,3,Potential Loyalists
13219,254,11,76.23,2,Hibernating / Low-Value
13220,211,30,484.15,0,At-Risk Customers
13223,301,1,15.0,2,Hibernating / Low-Value
13225,65,37,2397.4,3,Potential Loyalists
13226,29,12,204.25,3,Potential Loyalists
13230,1,694,2855.02,3,Potential Loyalists
13233,56,23,399.84999999999997,3,Potential Loyalists
13234,308,61,334.25,2,Hibernating / Low-Value
13237,23,23,623.1,3,Potential Loyalists
13238,66,16,305.9,3,Potential Loyalists
13239,73,62,974.5,3,Potential Loyalists
13240,1,163,1060.95,3,Potential Loyalists
13241,47,42,115.58,3,Potential Loyalists
13242,87,22,429.0,3,Potential Loyalists
13243,85,156,562.92,3,Potential Loyalists
13245,68,28,538.82,3,Potential Loyalists
13246,29,227,1134.88,3,Potential Loyalists
13249,281,2,69.6,2,Hibernating / Low-Value
13250,96,20,256.04,0,At-Risk Customers
13251,38,25,252.68,3,Potential Loyalists
13252,30,16,267.55,3,Potential Loyalists
13253,66,18,898.9499999999999,3,Potential Loyalists
13254,12,4,51.41,3,Potential Loyalists
13255,9,10,151.79999999999998,3,Potential Loyalists
13257,72,5,81.94999999999999,3,Potential Loyalists
13258,15,6,173.4,3,Potential Loyalists
13259,33,223,937.5600000000001,3,Potential Loyalists
13262,25,36,289.51,3,Potential Loyalists
13263,29,235,1092.97,3,Potential Loyalists
13264,78,35,672.96,3,Potential Loyalists
13266,58,104,1690.24,3,Potential Loyalists
13267,2,200,4612.46,3,Potential Loyalists
13269,5,152,2616.75,3,Potential Loyalists
13274,45,17,289.75,3,Potential Loyalists
13275,19,49,226.71,3,Potential Loyalists
13276,33,210,1191.03,3,Potential Loyalists
